experiment,pattern,family,nodes,edges,planar,algorithm,del,crossings,required,missing,unexpected,misplaced,runtime_s,status
A_mixed,stockinette,plain,208,387,True,KnitLayout,0.0608,0,0,0,0,0,49.091,ok
A_mixed,stockinette,plain,208,387,True,KnitGrid,0.1642,0,0,0,0,0,0.411,ok
A_mixed,stockinette,plain,208,387,True,Kamada-Kawai,0.0168,0,0,0,0,0,1.407,ok
A_mixed,stockinette,plain,208,387,True,SFDP,0.2693,0,0,0,0,0,1.293,ok
A_mixed,antique_diamonds_12,lace,247,462,True,KnitLayout,0.0578,0,0,0,0,0,66.838,ok
A_mixed,antique_diamonds_12,lace,247,462,True,KnitGrid,0.2916,12,0,0,12,0,0.614,ok
A_mixed,antique_diamonds_12,lace,247,462,True,Kamada-Kawai,0.041,0,0,0,0,0,1.068,ok
A_mixed,antique_diamonds_12,lace,247,462,True,SFDP,0.2591,0,0,0,0,0,1.378,ok
A_mixed,eyelet_12,lace,273,512,True,KnitLayout,0.0639,0,0,0,0,0,85.256,ok
A_mixed,eyelet_12,lace,273,512,True,KnitGrid,0.2649,0,0,0,0,0,0.705,ok
A_mixed,eyelet_12,lace,273,512,True,Kamada-Kawai,0.0465,0,0,0,0,0,1.339,ok
A_mixed,eyelet_12,lace,273,512,True,SFDP,0.2284,0,0,0,0,0,1.663,ok
A_mixed,drop_stitch_12,drop,234,437,True,KnitLayout,0.1244,0,0,0,0,0,61.013,ok
A_mixed,drop_stitch_12,drop,234,437,True,KnitGrid,0.2046,0,0,0,0,0,0.614,ok
A_mixed,drop_stitch_12,drop,234,437,True,Kamada-Kawai,0.1176,0,0,0,0,0,0.899,ok
A_mixed,drop_stitch_12,drop,234,437,True,SFDP,0.3104,0,0,0,0,0,1.326,ok
A_mixed,triangle_11,triangle,96,169,True,KnitLayout,0.0809,0,0,0,0,0,12.379,ok
A_mixed,triangle_11,triangle,96,169,True,KnitGrid,0.5031,10,0,0,10,0,0.083,ok
A_mixed,triangle_11,triangle,96,169,True,Kamada-Kawai,0.0376,0,0,0,0,0,0.13,ok
A_mixed,triangle_11,triangle,96,169,True,SFDP,0.1409,0,0,0,0,0,0.73,ok
B_triangle,triangle_5,triangle,39,64,True,KnitLayout,0.0604,0,0,0,0,0,1.655,ok
B_triangle,triangle_5,triangle,39,64,True,KnitGrid,0.4203,4,0,0,4,0,0.009,ok
B_triangle,triangle_5,triangle,39,64,True,Kamada-Kawai,0.0311,0,0,0,0,0,0.024,ok
B_triangle,triangle_5,triangle,39,64,True,SFDP,0.1695,0,0,0,0,0,0.612,ok
B_triangle,triangle_11,triangle,96,169,True,KnitLayout,0.0751,0,0,0,0,0,6.654,ok
B_triangle,triangle_11,triangle,96,169,True,KnitGrid,0.5031,10,0,0,10,0,0.072,ok
B_triangle,triangle_11,triangle,96,169,True,Kamada-Kawai,0.0376,0,0,0,0,0,0.336,ok
B_triangle,triangle_11,triangle,96,169,True,SFDP,0.1409,0,0,0,0,0,1.191,ok
B_triangle,triangle_17,triangle,171,310,True,KnitLayout,0.0894,0,0,0,0,0,16.667,ok
B_triangle,triangle_17,triangle,171,310,True,KnitGrid,0.5501,16,0,0,16,0,0.334,ok
B_triangle,triangle_17,triangle,171,310,True,Kamada-Kawai,0.0493,0,0,0,0,0,0.541,ok
B_triangle,triangle_17,triangle,171,310,True,SFDP,0.1104,0,0,0,0,0,1.028,ok
B_triangle,triangle_23,triangle,264,487,True,KnitLayout,0.1028,0,0,0,0,0,36.969,ok
B_triangle,triangle_23,triangle,264,487,True,KnitGrid,0.5805,22,0,0,22,0,0.619,ok
B_triangle,triangle_23,triangle,264,487,True,Kamada-Kawai,0.0577,0,0,0,0,0,1.485,ok
B_triangle,triangle_23,triangle,264,487,True,SFDP,0.3119,0,0,0,0,0,1.416,ok
B_triangle,triangle_29,triangle,375,700,True,KnitLayout,0.1092,0,0,0,0,0,74.2,ok
B_triangle,triangle_29,triangle,375,700,True,KnitGrid,0.6018,28,0,0,28,0,1.574,ok
B_triangle,triangle_29,triangle,375,700,True,Kamada-Kawai,0.0635,0,0,0,0,0,3.37,ok
B_triangle,triangle_29,triangle,375,700,True,SFDP,0.2286,0,0,0,0,0,2.455,ok
B_triangle,triangle_35,triangle,504,949,True,KnitLayout,0.1159,0,0,0,0,0,133.04,ok
B_triangle,triangle_35,triangle,504,949,True,KnitGrid,0.6174,34,0,0,34,0,2.728,ok
B_triangle,triangle_35,triangle,504,949,True,Kamada-Kawai,0.0677,0,0,0,0,0,6.416,ok
B_triangle,triangle_35,triangle,504,949,True,SFDP,0.2958,4,0,0,4,0,3.594,ok
C_cables,honeycomb_cable,cable,156,289,False,KnitLayout,0.2251,24,24,0,0,0,23.502,ok
C_cables,honeycomb_cable,cable,156,289,False,KnitGrid,0.1481,24,24,0,0,0,0.249,ok
C_cables,honeycomb_cable,cable,156,289,False,Kamada-Kawai,0.0806,24,24,0,0,0,0.446,ok
C_cables,honeycomb_cable,cable,156,289,False,SFDP,0.1674,24,24,0,0,0,0.881,ok
